0, 0, Header, 1, 2, 384
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Tempo, 857142
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "Electric Piano"
2, 0, Program_c, 0, 0
2, 0, Note_on_c, 0, 50, 50
2, 192, Note_off_c, 0, 50, 0
2, 192, Note_on_c, 0, 52, 50
2, 384, Note_off_c, 0, 52, 0
2, 384, Note_on_c, 0, 54, 50
2, 576, Note_off_c, 0, 54, 0
2, 576, Note_on_c, 0, 55, 50
2, 768, Note_off_c, 0, 55, 0
2, 768, Note_on_c, 0, 57, 50
2, 960, Note_off_c, 0, 57, 0
2, 960, Note_on_c, 0, 59, 50
2, 1152, Note_off_c, 0, 59, 0
2, 1152, Note_on_c, 0, 61, 50
2, 1344, Note_off_c, 0, 61, 0
2, 1344, Note_on_c, 0, 62, 50
2, 1536, Note_off_c, 0, 62, 0
2, 1536, End_track
0, 0, End_of_file
